'WHERE','MALE','FEMALE','TOTAL','YEAR'
'Myanmar ',118,209,327,2020
'Singapore',68,174,242,2020
'Taiwan',250,651,901,2020
'Thailandia',654,5.855,6.509,2020
'Timor Orientale',18,63,81,2020
'Vietnam',656,1.344,2.000,2020
,,,,
'AMERICA',146.876,240.012,386.888,2020
'Settentrionale  ',15.555,24.694,40.249,2020
' Canada',929,1.508,2.437,2020
' Stati Uniti',14.626,23.186,37.812,2020
'Centro-meridionale',131.321,215.318,346.639,2020
' Antigua e Barbuda',6,7,13,2020
' Argentina',3.486,4.829,8.315,2020
' Bahamas',7,12,19,2020
' Barbados',8,12,20,2020
' Belize',9,1,10,2020
' Bolivia',4.785,7.733,12.518,2020
' Brasile',12.823,33.363,46.186,2020
' Cile',1.346,1.892,3.238,2020
' Colombia',7.337,11.768,19.105,2020
' Costa Rica',169,364,533,2020
' Cuba',6.357,17.043,23.400,2020
' Dominica',199,367,566,2020
' Dominicana,Rep.',10864,18.161,29.025,2020
' Ecuador',30.697,40.780,71.477,2020
' El Salvador',6.999,10.144,17.143,2020
' Giamaica',63,92,155,2020
' Grenada',5,5,10,2020
' Guatemala',306,593,899,2020
' Guyana',5,16,21,2020
' Haiti',163,193,356,2020
' Honduras',794,1.714,2.508,2020
' Messico',1.929,3.560,5.489,2020
' Nicaragua',256,496,752,2020
' Panama',117,274,391,2020
' Paraguay',509,1.225,1.734,2020
' Peru''',37.811,52.759,90.570,2020
' Saint Kitts e Nevis',5,2,7,2020
' Saint Lucia',3,5,8,2020
' S.Vincent e Grenadine',,' 2 ',' 2 ',2020
' Suriname',2,10,12,2020
' Trinidad e Tobago',12,39,51,2020
' Uruguay',427,727,1.154,2020
' Venezuela',3.822,7.130,10.952,2020
,,,,
'OCEANIA',982,1.481,2.463,2020
' Australia',718,1.186,1.904,2020
' Figi',14,20,34,2020
' Kiribati',' 1 ',2,3,2020
' Marshall,Isole',6,3,9,2020
' Micronesia,Stati federati',2,,2,2020
' Nauru',1,,1,2020
' Nuova Zelanda',194,220,414,2020
' Palau',,1,1,2020
' Papua Nuova Guinea',10,9,19,2020
' Salomone,Isole',4,4,8,2020
' Samoa',23,24,47,2020
' Tonga',9,7,16,2020
' Tuvalu',,3,3,2020
' Vanuatu',,' 2 ',' 2 ',2020
,,,,
'Apolidi',299,251,550,2020
,,,,
'TOTALE         ',1.842.330,1.773.496,3.615.826,2020
