'WHERE','MALE','FEMALE','TOTAL','YEAR'
' Botswana',8,7,15,2016
' Camerun',7.245,6.782,14.027,2016
' Centrafricana, Rep.',127,64,191,2016
' Ciad',341,102,443,2016
' Congo',1.602,1.560,3.162,2016
' Congo,Rep.Democratica',2451,2.431,4.882,2016
' Gabon',139,146,285,2016
' Guinea equatoriale',63,53,116,2016
' Lesotho',12,8,20,2016
' Namibia',11,19,30,2016
' Sao Tome''e Principe',11,19,30,2016
' Sud Africa',321,429,750,2016
' Swaziland',11,13,24,2016
,,,,
'ASIA',634.713,506.207,1.140.920,2016
'Occidentale',23.367,25.505,48.872,2016
'Arabia Saudita',222,164,386,2016
'Armenia',395,674,1.069,2016
'Azerbaigian',300,296,596,2016
'Bahrein',27,16,43,2016
'Emirati Arabi Uniti',33,12,45,2016
'Georgia',2.228,11.152,13.380,2016
'Giordania',1.616,1.077,2.693,2016
'Iran',6249,5.629,11.878,2016
'Iraq',3.183,776,3.959,2016
'Israele',1.358,1.058,2.416,2016
'Kuwait',105,16,121,2016
'Libano',3.019,1.859,4.878,2016
'Oman',48,6,54,2016
'Qatar',7,6,13,2016
'Siria',3.516,2.325,5.841,2016
'Territori dell''Autonomia Palestinese',896,349,1.245,2016
'Yemen',165,90,255,2016
'Centro-meridionale',363.946,199.920,563.866,2016
'Afghanistan',12.013,692,12.705,2016
'Bangladesh',101.890,40.513,142.403,2016
'Bhutan',15,5,20,2016
'India',103.101,66.293,169.394,2016
'Kazakhstan',373,1.637,2.010,2016
'Kirghizistan',238,1.026,1.264,2016
'Maldive',18,3,21,2016
'Nepal',1.022,622,1.644,2016
'Pakistan',85.541,37.343,122.884,2016
'Sri Lanka',59.338,50.630,109.968,2016
'Tagikistan',36,24,60,2016
'Turkmenistan',26,56,82,2016
'Uzbekistan',335,1.076,1.411,2016
'Orientale',247.400,280.782,528.182,2016
' Brunei',1,5,6,2016
' Cambogia',68,156,224,2016
' Cina,Rep.Popolare',169029,164.957,333.986,2016
' Corea,Rep.Pop.Dem.',38,17,55,2016
' Corea,Rep.',1663,2.626,4.289,2016
' Filippine',71.325,95.851,167.176,2016
' Giappone',2.534,6.187,8.721,2016
' Indonesia',651,2.344,2.995,2016
' Laos',19,58,77,2016
' Malaysia',175,260,435,2016
' Mongolia',65,159,224,2016
' Myanmar ',122,190,312,2016
' Singapore',71,189,260,2016
' Taiwan',248,648,896,2016
' Thailandia',768,5.999,6.767,2016
' Timor Orientale',15,51,66,2016
' Vietnam',608,1.085,1.693,2016
,,,,
'AMERICA',151.415,255.526,406.941,2016
'Settentrionale  ',15.563,24.306,39.869,2016
' Canada',956,1.534,2.490,2016
' Stati Uniti',14607,22.772,37.379,2016
'Centro-meridionale',135.852,231.220,367.072,2016
' Antigua e Barbuda',5,6,11,2016
' Argentina',3.833,5.425,9.258,2016
' Bahamas',7,14,21,2016
' Barbados',8,16,24,2016
' Belize',14,4,18,2016
' Bolivia',5.023,8.512,13.535,2016
' Brasile',11.252,32.278,43.530,2016
' Cile',1.418,2.095,3.513,2016
' Colombia',7.548,12.778,20.326,2016
' Costa Rica',185,346,531,2016
' Cuba',5.987,17.926,23.913,2016
' Dominica',195,510,705,2016
' Dominicana,Rep.',10606,18.672,29.278,2016
' Ecuador',36.420,50.382,86.802,2016
' El Salvador',4.743,7.825,12.568,2016
' Giamaica',58,91,149,2016
' Grenada',3,4,7,2016
' Guatemala',281,587,868,2016
' Guyana',4,13,17,2016
' Haiti',177,197,374,2016
' Honduras',510,1.362,1.872,2016
' Messico',1.945,3.688,5.633,2016
' Nicaragua',226,475,701,2016
' Panama',113,277,390,2016
' Paraguay',515,1.292,1.807,2016
' Peru''',42.223,61.118,103.341,2016
' Saint Kitts e Nevis',1,2,3,2016
' Saint Lucia',5,10,15,2016
' S.Vincent e Grenadine','-','-','-',2016
' Suriname',3,4,7,2016
' Trinidad e Tobago',15,48,63,2016
' Uruguay',500,847,1.347,2016
' Venezuela',2.029,4.416,6.445,2016
,,,,
'OCEANIA',1.017,1.577,2.594,2016
' Australia',732,1.264,1.996,2016
' Figi',18,16,34,2016
' Kiribati','.',2,2,2016
' Marshall,Isole',4,2,6,2016
' Micronesia,Stati federati',2,3,5,2016
' Nauru',1,'.',1,2016
' Nuova Zelanda',213,235,448,2016
' Palau',4,2,6,2016
' Papua Nuova Guinea',13,9,22,2016
' Salomone,Isole',1,3,4,2016
' Samoa',17,26,43,2016
' Tonga',8,8,16,2016
' Tuvalu',1,3,4,2016
' Vanuatu',3,4,7,2016
,,,,2016
'Apolidi',382,290,672,2016
,,,,
'TOTALE         ',2.015.447,1.915.686,3.931.133,2016
