'WHERE','MALE','FEMALE','TOTAL','YEAR'
'Giappone',2.442,5.970,8.412,2017
'Indonesia',608,2.305,2.913,2017
'Laos',17,55,72,2017
'Malaysia',184,280,464,2017
'Mongolia',73,148,221,2017
'Myanmar ',101,200,301,2017
'Singapore',58,184,242,2017
'Taiwan',284,684,968,2017
'Thailandia',619,5.963,6.582,2017
'Timor Orientale',12,54,66,2017
'Vietnam',578,1.081,1.659,2017
,,,,
'AMERICA',142.876,242.333,385.209,2017
'Settentrionale  ',15.587,24.760,40.347,2017
' Canada',932,1.520,2.452,2017
' Stati Uniti',14655,23.240,37.895,2017
'Centro-meridionale',127.289,217.573,344.862,2017
' Antigua e Barbuda',7,7,14,2017
' Argentina',3.622,5.165,8.787,2017
' Bahamas',13,14,27,2017
' Barbados',6,14,20,2017
' Belize',12,1,13,2017
' Bolivia',4.659,7.892,12.551,2017
' Brasile',10.697,31.246,41.943,2017
' Cile',1.313,1.955,3.268,2017
' Colombia',6.966,11.895,18.861,2017
' Costa Rica',175,337,512,2017
' Cuba',5.860,17.606,23.466,2017
' Dominica',208,492,700,2017
' Dominicana,Rep.',10274,18.068,28.342,2017
' Ecuador',33.632,46.213,79.845,2017
' El Salvador',4.627,7.364,11.991,2017
' Giamaica',67,92,159,2017
' Grenada',5,7,12,2017
' Guatemala',278,597,875,2017
' Guyana',4,14,18,2017
' Haiti',169,194,363,2017
' Honduras',529,1.355,1.884,2017
' Messico',1.862,3.543,5.405,2017
' Nicaragua',218,453,671,2017
' Panama',106,250,356,2017
' Paraguay',485,1.210,1.695,2017
' Peru''',38.881,56.090,94.971,2017
' Saint Kitts e Nevis',2,2,4,2017
' Saint Lucia',5,10,15,2017
' S.Vincent e Grenadine',' - ',' - ',' - ',2017
' Suriname',2,7,9,2017
' Trinidad e Tobago',15,46,61,2017
' Uruguay',469,803,1.272,2017
' Venezuela',2.121,4.631,6.752,2017
,,,,
'OCEANIA',923,1.508,2.431,2017
' Australia',685,1.225,1.910,2017
' Figi',14,14,28,2017
' Kiribati',' - ',2,2,2017
' Marshall,Isole',4,3,7,2017
' Micronesia,Stati federati',3,1,4,2017
' Nauru',1,' - ',1,2017
' Nuova Zelanda',168,202,370,2017
' Palau',4,2,6,2017
' Papua Nuova Guinea',9,12,21,2017
' Salomone,Isole',2,2,4,2017
' Samoa',20,27,47,2017
' Tonga',8,9,17,2017
' Tuvalu',3,4,7,2017
' Vanuatu',2,5,7,2017
,,,,
'Apolidi',359,265,624,2017
,,,,
'TOTALE         ',1.911.248,1.802.889,3.714.137,2017
