'WHERE','MALE','FEMALE','TOTAL','YEAR'
'Emirati Arabi Uniti',15,10,25,2021
'Georgia',2.645,12.641,15.286,2021
'Giordania',1.071,718,1.789,2021
'Iran',6075,6.117,12.192,2021
'Iraq',5.278,1.381,6.659,2021
'Israele',957,883,1.840,2021
'Kuwait',36,16,52,2021
'Libano',2.508,1.573,4.081,2021
'Oman',10,9,19,2021
'Qatar',200,16,216,2021
'Siria',4.208,3.069,7.277,2021
'Palestina',913,367,1.280,2021
'Yemen',226,103,329,2021
'Centro-meridionale',337.680,197.226,534.906,2021
'Afghanistan',12.318,1.196,13.514,2021
'Bangladesh',95.618,42.891,138.509,2021
'Bhutan',5,8,13,2021
'India',89.081,64.865,153.946,2021
'Kazakhstan',327,1.662,1.989,2021
'Kirghizistan',298,1.210,1.508,2021
'Maldive',22,1,23,2021
'Nepal',985,709,1.694,2021
'Pakistan',86.046,36.360,122.406,2021
'Sri Lanka',52.632,47.401,100.033,2021
'Tagikistan',22,29,51,2021
'Turkmenistan',23,42,65,2021
'Uzbekistan',303,852,1.155,2021
'Orientale',208.927,245.574,454.501,2021
'Brunei',2,3,5,2021
'Cambogia',55,134,189,2021
'Cina,Rep.Popolare',139010,140.718,279.728,2021
'Corea,Rep.Pop.Dem.',4,6,10,2021
'Corea,Rep.',1389,2.260,3.649,2021
'Filippine',64.271,86.481,150.752,2021
'Giappone',1.965,5.684,7.649,2021
'Indonesia',568,2.290,2.858,2021
'Laos',14,49,63,2021
'Malaysia',142,254,396,2021
'Mongolia',53,153,206,2021
'Myanmar ',113,188,301,2021
'Singapore',48,173,221,2021
'Taiwan',185,512,697,2021
'Thailandia',576,5.543,6.119,2021
'Timor Orientale',24,61,85,2021
'Vietnam',508,1.065,1.573,2021
,,,,
'AMERICA',136.146,224.320,360.466,2021
'Settentrionale  ',14.013,21.828,35.841,2021
' Canada',798,1.367,2.165,2021
' Stati Uniti',13.215,20.461,33.676,2021
'Centro-meridionale',122.133,202.492,324.625,2021
' Antigua e Barbuda',7,6,13,2021
' Argentina',3.219,4.664,7.883,2021
' Bahamas',7,10,17,2021
' Barbados',7,10,17,2021
' Belize',8,1,9,2021
' Bolivia',4.472,7.143,11.615,2021
' Brasile',10.889,30.727,41.616,2021
' Cile',1.265,1.762,3.027,2021
' Colombia',6.879,11.214,18.093,2021
' Costa Rica',156,352,508,2021
' Cuba',6.064,16.171,22.235,2021
' Dominica',163,360,523,2021
' Dominicana,Rep.',10425,17.133,27.558,2021
' Ecuador',28.527,37.950,66.477,2021
' El Salvador',6.636,9.599,16.235,2021
' Giamaica',62,84,146,2021
' Grenada',5,5,10,2021
' Guatemala',270,532,802,2021
' Guyana',3,10,13,2021
' Haiti',169,212,381,2021
' Honduras',764,1.650,2.414,2021
' Messico',1.657,3.344,5.001,2021
' Nicaragua',240,484,724,2021
' Panama',105,255,360,2021
' Paraguay',442,1.092,1.534,2021
' Peru''',35.367,49.633,85.000,2021
' Saint Kitts e Nevis',5,2,7,2021
' Saint Lucia',3,9,12,2021
' S.Vincent e Grenadine',' . ',' 3 ',' 3 ',2021
' Suriname',2,6,8,2021
' Trinidad e Tobago',11,41,52,2021
' Uruguay',429,712,1.141,2021
' Venezuela',3.875,7.316,11.191,2021
,,,,
'OCEANIA',850,1.275,2.125,2021
' Australia',611,1.009,1.620,2021
' Figi',9,16,25,2021
' Kiribati',' 3 ',3,6,2021
' Marshall,Isole',7,3,10,2021
' Micronesia,Stati federati',3,1,4,2021
' Nauru',1,' . ',1,2021
' Nuova Zelanda',177,199,376,2021
' Palau',1,1,2,2021
' Papua Nuova Guinea',10,10,20,2021
' Salomone,Isole',1,2,3,2021
' Samoa',20,20,40,2021
' Tonga',6,7,13,2021
' Tuvalu',1,3,4,2021
' Vanuatu',' . ',' 1 ',' 1 ',2021
,,,,
'Apolidi',293,259,552,2021
,,,,
'TOTALE         ',1.702.258,1.671.618,3.373.876,2021
