'WHERE','MALE','FEMALE','TOTAL','YEAR'
'Oman',6,6,12,2019
'Qatar',60,7,67,2019
'Siria',4.289,2.971,7.260,2019
'Palestina',1051,409,1.460,2019
'Yemen',193,105,298,2019
'Centro-meridionale',369.647,200.101,569.748,2019
'Afghanistan',16.110,1.045,17.155,2019
'Bangladesh',105.334,40.373,145.707,2019
'Bhutan',6,7,13,2019
'India',95.795,67.098,162.893,2019
'Kazakhstan',347,1.645,1.992,2019
'Kirghizistan',282,1.118,1.400,2019
'Maldive',18,1,19,2019
'Nepal',1.137,755,1.892,2019
'Pakistan',93.966,37.344,131.310,2019
'Sri Lanka',56.245,49.745,105.990,2019
'Tagikistan',31,36,67,2019
'Turkmenistan',27,53,80,2019
'Uzbekistan',349,881,1.230,2019
'Orientale',235.788,270.271,506.059,2019
'Brunei',3,4,7,2019
'Cambogia',57,143,200,2019
'Cina,Rep.Popolare',159693,158.310,318.003,2019
'Corea,Rep.Pop.Dem.',10,11,21,2019
'Corea,Rep.',1648,2.598,4.246,2019
'Filippine',69.360,92.469,161.829,2019
'Giappone',2.398,5.850,8.248,2019
'Indonesia',632,2.429,3.061,2019
'Laos',16,53,69,2019
'Malaysia',185,255,440,2019
'Mongolia',63,178,241,2019
'Myanmar ',109,204,313,2019
'Singapore',72,173,245,2019
'Taiwan',255,598,853,2019
'Thailandia',643,5.717,6.360,2019
'Timor Orientale',18,75,93,2019
'Vietnam',626,1.204,1.830,2019
,,,,
'AMERICA',146.531,238.694,385.225,2019
'Settentrionale  ',15.660,24.493,40.153,2019
' Canada',915,1.449,2.364,2019
' Stati Uniti',14.745,23.044,37.789,2019
'Centro-meridionale',130.871,214.201,345.072,2019
' Antigua e Barbuda',4,6,10,2019
' Argentina',3.392,4.691,8.083,2019
' Bahamas',9,11,20,2019
' Barbados',6,13,19,2019
' Belize',10,1,11,2019
' Bolivia',4.807,7.807,12.614,2019
' Brasile',12.302,32.289,44.591,2019
' Cile',1.326,1.882,3.208,2019
' Colombia',7.245,11.406,18.651,2019
' Costa Rica',168,351,519,2019
' Cuba',6.208,17.034,23.242,2019
' Dominica',199,391,590,2019
' Dominicana,Rep.',10783,17.824,28.607,2019
' Ecuador',32.643,43.558,76.201,2019
' El Salvador',6.159,9.013,15.172,2019
' Giamaica',66,95,161,2019
' Grenada',8,8,16,2019
' Guatemala',276,580,856,2019
' Guyana',3,15,18,2019
' Haiti',165,187,352,2019
' Honduras',680,1.534,2.214,2019
' Messico',1.787,3.442,5.229,2019
' Nicaragua',216,455,671,2019
' Panama',113,255,368,2019
' Paraguay',479,1.179,1.658,2019
' Peru''',38.245,53.316,91.561,2019
' Saint Kitts e Nevis',6,4,10,2019
' Saint Lucia',4,9,13,2019
' S.Vincent e Grenadine',' - ',' - ',' - ',2019
' Suriname',2,10,12,2019
' Trinidad e Tobago',10,41,51,2019
' Uruguay',439,739,1.178,2019
' Venezuela',3.111,6.055,9.166,2019
,,,,
'OCEANIA',938,1.429,2.367,2019
' Australia',681,1.135,1.816,2019
' Figi',15,21,36,2019
' Kiribati',' 1 ',1,2,2019
' Marshall,Isole',6,5,11,2019
' Micronesia,Stati federati',1,2,3,2019
' Nauru',1,' . ',1,2019
' Nuova Zelanda',181,216,397,2019
' Palau',2,2,4,2019
' Papua Nuova Guinea',12,11,23,2019
' Salomone,Isole',5,1,6,2019
' Samoa',22,26,48,2019
' Tonga',11,6,17,2019
' Tuvalu','.',3,3,2019
' Vanuatu',' - ',' - ',' - ',2019
,,,,
'Apolidi',316,259,575,2019
,,,,
'TOTALE         ',1.923.119,1.794.287,3.717.406,2019
