'WHERE','MALE','FEMALE','TOTAL','YEAR'
' Tanzania',498,575,1.073,2013
' Uganda',295,304,599,2013
' Zambia',140,134,274,2013
' Zimbabwe',78,101,179,2013
'Centro-meridionale',12.918,11.718,24.636,2013
' Angola',890,810,1.700,2013
' Botswana',15,11,26,2013
' Camerun',6.576,6.026,12.602,2013
' Centrafricana, Rep.',79,59,138,2013
' Ciad',568,120,688,2013
' Congo',2.076,1.958,4.034,2013
' Congo,Rep.Democratica',2.224,2.097,4.321,2013
' Gabon',99,104,203,2013
' Guinea equatoriale',57,50,107,2013
' Lesotho',13,10,23,2013
' Namibia',7,18,25,2013
' Sao Tome''e Principe',13,17,30,2013
' Sud Africa',287,431,718,2013
' Swaziland',14,7,21,2013
,,,,
'ASIA',552.933,452.859,1.005.792,2013
'Occidentale',21.279,22.579,43.858,2013
'Arabia Saudita',129,103,232,2013
'Armenia',337,560,897,2013
'Azerbaigian',184,260,444,2013
'Bahrein',9,7,16,2013
'Emirati Arabi Uniti',119,6,125,2013
'Georgia',1.643,9.434,11.077,2013
'Giordania',1.763,1.099,2.862,2013
'Iran',5.749,5.061,10.810,2013
'Iraq',2.505,825,3.330,2013
'Israele',1.698,1.098,2.796,2013
'Kuwait',39,15,54,2013
'Libano',2.985,1.688,4.673,2013
'Oman',8,7,15,2013
'Qatar',6,1,7,2013
'Siria',3.221,1.998,5.219,2013
'Territori dell''Autonomia Palestinese',778,340,1.118,2013
'Yemen',106,77,183,2013
'Centro-meridionale',302.150,170.797,472.947,2013
'Afghanistan',5.903,503,6.406,2013
'Bangladesh',80.106,33.705,113.811,2013
'Bhutan',12,5,17,2013
'India',93.872,56.590,150.462,2013
'Kazakhstan',315,1.388,1.703,2013
'Kirghizistan',190,921,1.111,2013
'Maldive',17,3,20,2013
'Nepal',775,448,1.223,2013
'Pakistan',65.595,32.326,97.921,2013
'Sri Lanka',54.984,43.695,98.679,2013
'Tagikistan',20,19,39,2013
'Turkmenistan',20,43,63,2013
'Uzbekistan',341,1.151,1.492,2013
'Orientale',229.504,259.483,488.987,2013
' Brunei',1,'.',1,2013
' Cambogia',77,142,219,2013
' Cina,Rep.Popolare',155.800,148.968,304.768,2013
' Corea,Rep.Pop.Dem.',10,20,30,2013
' Corea,Rep.',1.534,2.465,3.999,2013
' Filippine',66.838,91.470,158.308,2013
' Giappone',2.571,5.969,8.540,2013
' Indonesia',586,2.115,2.701,2013
' Laos',27,48,75,2013
' Malaysia',175,243,418,2013
' Mongolia',76,168,244,2013
' Myanmar ',114,181,295,2013
' Singapore',75,173,248,2013
' Taiwan',246,572,818,2013
' Thailandia',755,5.964,6.719,2013
' Timor Orientale',10,42,52,2013
' Vietnam',609,943,1.552,2013
,,,,
'AMERICA',152.734,264.744,417.478,2013
'Settentrionale  ',14.956,23.177,38.133,2013
' Canada',986,1.457,2.443,2013
' Stati Uniti',13.970,21.720,35.690,2013
'Centro-meridionale',137.778,241.567,379.345,2013
' Antigua e Barbuda',7,6,13,2013
' Argentina',4.131,5.996,10.127,2013
' Bahamas',4,9,13,2013
' Barbados',10,11,21,2013
' Belize',16,1,17,2013
' Bolivia',4.855,8.757,13.612,2013
' Brasile',12.321,34.643,46.964,2013
' Cile',1.531,2.228,3.759,2013
' Colombia',7.882,14.150,22.032,2013
' Costa Rica',195,356,551,2013
' Cuba',5.484,17.031,22.515,2013
' Dominica',275,618,893,2013
' Dominicana,Rep.',10.219,18.908,29.127,2013
' Ecuador',37.162,53.138,90.300,2013
' El Salvador',3.797,6.817,10.614,2013
' Giamaica',64,102,166,2013
' Grenada',3,4,7,2013
' Guatemala',254,595,849,2013
' Guyana',6,13,19,2013
' Haiti',167,188,355,2013
' Honduras',385,1.079,1.464,2013
' Messico',2.035,3.714,5.749,2013
' Nicaragua',192,448,640,2013
' Panama',123,315,438,2013
' Paraguay',499,1.290,1.789,2013
' Peru''',43.578,65.796,109.374,2013
' Saint Kitts e Nevis',2,'.',2,2013
' Saint Lucia',6,6,12,2013
' S.Vincent e Grenadine','.',2,2,2013
' Suriname',5,3,8,2013
' Trinidad e Tobago',22,51,73,2013
' Uruguay',572,961,1.533,2013
' Venezuela',1.976,4.331,6.307,2013
,,,,
'OCEANIA',1.013,1.619,2.632,2013
' Australia',718,1.290,2.008,2013
' Figi',14,16,30,2013
' Kiribati',2,5,7,2013
' Marshall,Isole',13,11,24,2013
' Micronesia,Stati federati',1,3,4,2013
' Nauru','.',1,1,2013
' Nuova Zelanda',213,240,453,2013
' Palau',3,1,4,2013
' Papua Nuova Guinea',9,9,18,2013
' Salomone,Isole',2,2,4,2013
' Samoa',23,28,51,2013
' Tonga',11,9,20,2013
' Tuvalu',1,4,5,2013
' Vanuatu',3,'.',3,2013
,,,,
'Apolidi',306,257,563,2013
,,,,
'TOTALE         ',1.907.543,1.856.693,3.764.236,2013
